Max similarity: 0.550253
Total matches: 3900

score: 0.550253 | segment id: 10 | term: "Hawaiʻi Commission on National and Community Service" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.133244 | segment id: 43 | term: "College" | text: "That really depends on how many homes that would like to be part of the pilot."
score: 0.133234 | segment id: 92 | term: "Center on Nursing Advisory Board" | text: "Okay, so our first bill today is HB 1428, relating to housing."
score: 0.133114 | segment id: 20 | term: "Cancer Center" | text: "I am expressing this testimony as my own and does not necessarily reflect the school."
score: 0.133089 | segment id: 129 | term: "Scholarship" | text: "There being no further business, this hearing is adjourned."
score: 0.133046 | segment id: 4 | term: "community college" | text: "If there are temporary technical glitches during your turn to testify via Zoom, we may have to move on to the next person due to time constraints."
score: 0.133045 | segment id: 37 | term: "Post-Secondary Education Commission" | text: "We stand by testimony in support."
score: 0.133017 | segment id: 97 | term: "Scholarship" | text: "Okay, if not, again, for HB 1428, chair's recommendation is to pass with amendments."
score: 0.133009 | segment id: 71 | term: "west oahu" | text: "Okay, the chair just has a question for DOTAX."
score: 0.132997 | segment id: 109 | term: "Underground Storage Tanks" | text: "Further, in the committee report, we'll note the $25 million appropriation request for 50 units at an average cost of $500,000 to note the extremely high cost and therefore the necessity to revolve th"
score: 0.132975 | segment id: 77 | term: "Board of Regents" | text: "How much should the maximum annual deductions be raised to you?"
score: 0.132910 | segment id: 52 | term: "Cancer Center" | text: "Yes."
score: 0.132886 | segment id: 119 | term: "Scholarship" | text: "And then finally, HB 286, relating to the individual housing account program, Chair's recommendation will be to pass with this measure with amendments."
score: 0.132829 | segment id: 68 | term: "487n" | text: "Andrew Crossland, Judy Ilar, Luella Vidinha, Chanara K. Richmond, Glenn Cogomita, Jacob Wiencek, and also Susan Wattis in opposition."
score: 0.132804 | segment id: 42 | term: "487n" | text: "How much money is needed for this measure?"
score: 0.132802 | segment id: 41 | term: "Cancer Center" | text: "Okay, Chair has a question for HHFDC."
score: 0.132755 | segment id: 105 | term: "John A. Burns School of Medicine" | text: "Chair recommendation is adopted."
score: 0.132744 | segment id: 22 | term: "Aloha Stadium" | text: "Thank you for the opportunity to testify."
score: 0.132740 | segment id: 8 | term: "Career and Technical Education" | text: "Our first testifier is HHFDC in support."
score: 0.132740 | segment id: 36 | term: "Career and Technical Education" | text: "Our first testifier is HHFDC in support."
score: 0.132669 | segment id: 75 | term: "Athletic" | text: "I'm from the Department of Taxation."
score: 0.132652 | segment id: 6 | term: "Hawaiʻi Institute of Marine Biology" | text: "Our first bill today is HB 1428, relating to housing, which appropriates funds for HHFDC to allocate to housing counseling agencies certified by the U.S. Department of Housing and Urban Development to"
score: 0.132595 | segment id: 9 | term: "Scholarship" | text: "Thank you."
score: 0.132595 | segment id: 57 | term: "Scholarship" | text: "Thank you."
score: 0.132595 | segment id: 63 | term: "Scholarship" | text: "Thank you."
score: 0.132595 | segment id: 66 | term: "Scholarship" | text: "Thank you."
score: 0.132595 | segment id: 72 | term: "Scholarship" | text: "Thank you."
score: 0.132595 | segment id: 106 | term: "Scholarship" | text: "Thank you."
score: 0.132595 | segment id: 118 | term: "Scholarship" | text: "Thank you."
score: 0.132537 | segment id: 50 | term: "Western Interstate Commission for Higher Education" | text: "that buyer can pay back HHFDC's funds through their mortgage."
score: 0.132522 | segment id: 103 | term: "Post-Secondary Education Commission" | text: "Senator Kanuha?"
score: 0.132518 | segment id: 15 | term: "Early Learning Board" | text: "I would like to note that my stance is solely a reflection of my own beliefs and not of the organization or school I attend."
score: 0.132497 | segment id: 38 | term: "John A. Burns School of Medicine" | text: "Next we have County of Hawaii Office of Housing and Community Development in support, Kohala Community Land Trust in support, Council for Native Hawaiian Advancement in support, Maui Chamber of Commer"
score: 0.132433 | segment id: 82 | term: "State Departments" | text: "So really the IHA would only be used by taxpayers who have already maxed out their Roth annual contribution limit?"
score: 0.132383 | segment id: 11 | term: "Research Corporation of the University of Hawaiʻi" | text: "Followed by Agatha Joyce Samarin in support."
score: 0.132355 | segment id: 65 | term: "Western Interstate Commission for Higher Education" | text: "Not present on Zoom, Chair."
score: 0.132259 | segment id: 34 | term: "Career and Technical Education" | text: "We'll move on to our next bill, which is HB 833, relating to community land trusts."
score: 0.132256 | segment id: 46 | term: "west oahu" | text: "How long would it take to have those funds repaid to HHSDC?"
score: 0.132232 | segment id: 16 | term: "Career and Technical Education" | text: "Thank you for giving me the chance to speak in favor of House Bill 1428."
score: 0.132176 | segment id: 50 | term: "Hawaiʻi Commission on National and Community Service" | text: "that buyer can pay back HHFDC's funds through their mortgage."
score: 0.132064 | segment id: 52 | term: "Post-Secondary Education Commission" | text: "Yes."
score: 0.132011 | segment id: 115 | term: "Hawaiʻi Commission on National and Community Service" | text: "Any members voting with reservations?"
score: 0.132011 | segment id: 125 | term: "Hawaiʻi Commission on National and Community Service" | text: "Any members voting with reservations?"
score: 0.131996 | segment id: 82 | term: "Scholarship" | text: "So really the IHA would only be used by taxpayers who have already maxed out their Roth annual contribution limit?"
score: 0.131954 | segment id: 120 | term: "Scholarship" | text: "um with technical non-substantive amendments for the purposes of clarity and consistency we'll also further defect the date and note in the committee report the change to ten thousand dollars um for a"
score: 0.131924 | segment id: 51 | term: "Red Hill" | text: "Okay, so that would revolve within three to five years?"
score: 0.131919 | segment id: 24 | term: "Athletic" | text: "Is there anyone else wishing to testify on HB 1428?"
score: 0.131872 | segment id: 32 | term: "west oahu" | text: "We also note that these housing counseling agencies rely on federal funds to provide their current services, and with the current uncertainties surrounding federal funding, there is a chance that they"
score: 0.131727 | segment id: 78 | term: "Mauna Kea" | text: "That would be a policy question."
score: 0.131700 | segment id: 23 | term: "Mauna Kea" | text: "Thank you very much."
score: 0.131700 | segment id: 59 | term: "Mauna Kea" | text: "Thank you very much."
score: 0.131700 | segment id: 128 | term: "Mauna Kea" | text: "Thank you very much."
score: 0.131687 | segment id: 2 | term: "Hawaiʻi Institute of Marine Biology" | text: "This is the Committee on Housing, 1.25 PM hearing here in conference room 225."
score: 0.131673 | segment id: 55 | term: "Post-Secondary Education Commission" | text: "Yes, and it would be for, we anticipate, interim financing."
score: 0.131650 | segment id: 18 | term: "Education Commission of the States" | text: "It saddens me growing up on the island to see the housing crisis worsen throughout the years, and I urge the community to support House Bill 1428-HDI, and I thank you for allowing me the opportunity t"
score: 0.131567 | segment id: 117 | term: "Early Learning Board" | text: "Without others voting aye, recommendation is adopted."
score: 0.131564 | segment id: 98 | term: "Hawaiʻi Commission on National and Community Service" | text: "Chair votes aye."
score: 0.131564 | segment id: 100 | term: "Hawaiʻi Commission on National and Community Service" | text: "Chair votes aye."
score: 0.131564 | segment id: 112 | term: "Hawaiʻi Commission on National and Community Service" | text: "Chair votes aye."
score: 0.131564 | segment id: 114 | term: "Hawaiʻi Commission on National and Community Service" | text: "Chair votes aye."
score: 0.131564 | segment id: 122 | term: "Hawaiʻi Commission on National and Community Service" | text: "Chair votes aye."
score: 0.131564 | segment id: 124 | term: "Hawaiʻi Commission on National and Community Service" | text: "Chair votes aye."
score: 0.131563 | segment id: 110 | term: "Underground Storage Tanks" | text: "Members, any discussion?"
score: 0.131466 | segment id: 23 | term: "Hawaiʻi Institute of Marine Biology" | text: "Thank you very much."
score: 0.131466 | segment id: 59 | term: "Hawaiʻi Institute of Marine Biology" | text: "Thank you very much."
score: 0.131466 | segment id: 128 | term: "Hawaiʻi Institute of Marine Biology" | text: "Thank you very much."
score: 0.131405 | segment id: 94 | term: "Cancer Center" | text: "And the committee report will note HHFDC's $1.5 million request for appropriations."
score: 0.131348 | segment id: 70 | term: "Post-Secondary Education Commission" | text: "If not, members, any questions?"
score: 0.131300 | segment id: 129 | term: "Hawaiʻi Commission on National and Community Service" | text: "There being no further business, this hearing is adjourned."
score: 0.131279 | segment id: 0 | term: "Hawaiʻi Institute of Marine Biology" | text: "Good afternoon."
score: 0.131279 | segment id: 12 | term: "Hawaiʻi Institute of Marine Biology" | text: "Good afternoon."
score: 0.131244 | segment id: 26 | term: "John A. Burns School of Medicine" | text: "Are there any questions?"
score: 0.131224 | segment id: 1 | term: "Mauna Kea" | text: "It's 1.25 PM."
score: 0.131217 | segment id: 48 | term: "Board of Regents" | text: "I'm thinking that the state would provide construction loans, which would be paid back upon permanent conversion."
score: 0.131179 | segment id: 119 | term: "community college" | text: "And then finally, HB 286, relating to the individual housing account program, Chair's recommendation will be to pass with this measure with amendments."
